date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:24	68253/68253	---M-Z	200	added ('OK')	application/javascript	etag:%2210a9d-5e72dfe4-f1950cbbc9296e8d;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:25	2211/2211	---M-Z	200	added ('OK')	application/javascript	etag:%228a3-5c50995e-d1eac6c8bf7b24c0;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/map-init.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/map-init.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:25	31433/31433	---M-Z	200	added ('OK')	application/javascript	etag:%227ac9-5bddadd2-2eac0d6c19f67d9a;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/packery-mode.pkgd.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/packery-mode.pkgd.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:26	89666/89666	---M-Z	200	added ('OK')	application/javascript	etag:%2215e42-5bddadd2-1747880b127fc1bd;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/isotope.pkgd.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/isotope.pkgd.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:26	10743/10743	---M-Z	200	added ('OK')	application/javascript	etag:%2229f7-5e179ac0-af895cb85e6c4cea;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/custom-scripts.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/custom-scripts.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:26	2802/2802	---M-Z	200	added ('OK')	text/css	etag:%22af2-5c40dd00-f49fc74a226c58a7;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.css	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:27	1840/1840	---M-Z	200	added ('OK')	application/javascript	etag:%22730-5c0290ba-ea666f3557b437f5;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/styleswitcher.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/styleswitcher.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:27	407/407	---M-Z	200	added ('OK')	application/javascript	etag:%22197-5c0290ba-736a5fc16d1f8ed6;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:28	59565/59565	---M-Z	200	added ('OK')	text/html	etag:%22e8ad-5e1785aa-1710bc3c902e965e;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:29	73906/73906	---M-Z	200	added ('OK')	text/html	etag:%22120b2-5e8f3a96-fa40d951ad692e2;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
